neighborhood,black,white,hispanic,asian
Adams Morgan,11,69,13,6.8
Anacostia,97,1.3,0.9,0.2
Barry Farm,97,0.7,1.7,0.2
Bellevue,97,0.8,1.4,0.2
Brookland,78,14,6.1,1.5
Capitol View,96,0.8,2.5,0.2
Chevy Chase,11,77,6.2,5.4
Cleveland Park,4.4,80,7.6,7.4
Columbia Heights,38,31,27,4.4
Deanwood,96,0.8,2.5,0.2
Downtown,37,43,5.9,14
DuPont Circle,7.7,73,8.2,11
Edgewood,70,20,7,2.3
Fairlawn,96,2,1.6,0.3
Foggy Bottom,6.7,75,5.7,12
Fort DuPont,96,0.6,2.6,0.2
Friendship Heights,5.6,80,6.7,7.6
Garfield Heights,98,0.8,1.2,0.2
Georgetown,3.7,81,6.4,8.4
Glover Park,5.9,76,9,8.5
Ivy City,87,7.1,4.1,1
Kenilworth,97,0.7,1.5,0.3, vv1,,,
Kingman Park,43,49,4.3,3.2
Lamond Riggs,70,17,11,1.6
Logan Circle,29,48,15,7.8
Mayfair,97,0.7,2.2,0.2
Michigan Park,81,12,4.5,1.5
Navy Yard,46,44,5.5,4.7
Naylor Gardens,93,4.6,1.9,0.4
Palisades,4.4,80,7.2,7.8
Petworth,61,13,24,1.8
Shaw,44,41,9.4,5
Shepherd Park,69,24,5.1,1.8
Shipley Terrace,98,0.6,1.3,0.2
South Capitol Hill,35,56,5.2,3.4
Southwest,56,33,5.2,5.2
Takoma,68,11,18,1.9
Van Ness,7.1,75,7.5,10
Woodridge,87,5.5,5.8,1.2